"Date","Price","Open","High","Low","Vol.","Change %"
"12/07/2022","1,314.38","1,320.13","1,326.55","1,312.56","","-0.41%"
"12/06/2022","1,319.79","1,305.73","1,323.12","1,301.45","","1.10%"
"12/05/2022","1,305.49","1,299.17","1,307.05","1,289.40","","0.59%"
"12/02/2022","1,297.89","1,304.56","1,308.34","1,295.47","","-0.49%"
"12/01/2022","1,304.23","1,301.72","1,308.23","1,295.15","","0.20%"
"11/30/2022","1,301.65","1,325.67","1,330.01","1,300.60","","-1.79%"
"11/29/2022","1,325.36","1,341.53","1,342.89","1,322.84","","-1.07%"
"11/28/2022","1,339.75","1,335.95","1,342.87","1,332.43","","0.39%"
"11/25/2022","1,334.48","1,328.03","1,336.78","1,319.27","","0.59%"
"11/24/2022","1,326.69","1,337.09","1,340.75","1,324.12","","-0.76%"
"11/23/2022","1,336.85","1,353.01","1,355.86","1,335.96","","-1.17%"
"11/22/2022","1,352.65","1,359.61","1,362.97","1,351.01","","-0.49%"
"11/21/2022","1,359.30","1,341.55","1,362.64","1,341.44","","1.46%"
"11/18/2022","1,339.71","1,342.99","1,344.94","1,335.85","","-0.22%"
"11/17/2022","1,342.65","1,337.00","1,352.56","1,330.45","","0.45%"
"11/16/2022","1,336.65","1,316.56","1,339.09","1,315.17","","1.55%"
"11/15/2022","1,316.21","1,324.27","1,327.51","1,308.13","","-0.58%"
"11/14/2022","1,323.87","1,319.50","1,332.06","1,309.20","","0.77%"
"11/11/2022","1,313.69","1,350.14","1,350.69","1,313.20","","-2.68%"
"11/10/2022","1,349.82","1,371.30","1,383.94","1,349.41","","-1.55%"
"11/09/2022","1,371.13","1,375.04","1,380.48","1,357.22","","-0.28%"
"11/08/2022","1,375.03","1,393.43","1,395.30","1,370.43","","-1.25%"
"11/07/2022","1,392.44","1,411.80","1,413.26","1,390.20","","-0.77%"
"11/04/2022","1,403.29","1,424.06","1,429.45","1,401.05","","-1.43%"
"11/03/2022","1,423.70","1,424.95","1,428.78","1,417.83","","0.80%"
"11/02/2022","1,412.45","1,417.08","1,421.40","1,409.67","","-0.30%"
"11/01/2022","1,416.73","1,427.03","1,429.59","1,411.77","","-0.64%"
"10/31/2022","1,425.83","1,422.05","1,429.69","1,418.31","","0.29%"
"10/28/2022","1,421.66","1,421.67","1,428.10","1,414.22","","0.03%"
"10/27/2022","1,421.23","1,412.85","1,425.51","1,411.95","","0.62%"
"10/26/2022","1,412.52","1,427.26","1,432.60","1,410.44","","-1.01%"
"10/25/2022","1,426.92","1,444.94","1,445.36","1,424.58","","-1.23%"
"10/24/2022","1,444.63","1,431.05","1,446.62","1,428.58","","1.14%"
"10/21/2022","1,428.32","1,430.58","1,444.59","1,428.51","","-0.13%"
"10/20/2022","1,430.20","1,435.17","1,436.85","1,422.35","","-0.33%"
"10/19/2022","1,434.88","1,425.33","1,437.07","1,413.44","","0.69%"
"10/18/2022","1,425.02","1,431.69","1,432.51","1,418.36","","-0.40%"
"10/17/2022","1,430.71","1,442.45","1,442.70","1,429.24","","-0.68%"
"10/14/2022","1,440.44","1,430.60","1,442.39","1,424.85","","0.68%"
"10/13/2022","1,430.69","1,424.90","1,444.09","1,423.47","","0.44%"
"10/12/2022","1,424.49","1,431.81","1,436.55","1,422.37","","-0.48%"
"10/11/2022","1,431.42","1,428.97","1,438.69","1,427.03","","0.27%"
"10/10/2022","1,427.61","1,421.95","1,430.77","1,421.95","","0.19%"
"10/07/2022","1,424.94","1,408.62","1,425.56","1,402.00","","1.18%"
"10/06/2022","1,408.31","1,417.05","1,417.62","1,397.24","","-0.52%"
"10/05/2022","1,415.63","1,416.34","1,424.23","1,410.05","","0.01%"
"10/04/2022","1,415.53","1,432.57","1,436.61","1,416.11","","-1.25%"
"10/03/2022","1,433.45","1,440.23","1,445.78","1,433.78","","-0.45%"
"09/30/2022","1,439.96","1,430.42","1,442.33","1,427.97","","0.70%"
"09/29/2022","1,429.99","1,424.20","1,442.17","1,422.56","","0.39%"
"09/28/2022","1,424.48","1,426.67","1,445.64","1,424.80","","-0.13%"
"09/27/2022","1,426.32","1,430.61","1,432.10","1,419.02","","-0.27%"
"09/26/2022","1,430.19","1,421.30","1,435.20","1,419.35","","0.62%"
"09/23/2022","1,421.34","1,407.07","1,423.80","1,404.04","","1.22%"
"09/22/2022","1,404.23","1,397.72","1,414.85","1,396.35","","0.47%"
"09/21/2022","1,397.71","1,392.91","1,398.85","1,388.40","","0.37%"
"09/20/2022","1,392.50","1,390.33","1,395.27","1,387.26","","0.17%"
"09/19/2022","1,390.08","1,385.95","1,396.46","1,384.00","","0.38%"
"09/16/2022","1,384.77","1,397.70","1,399.31","1,383.20","","-0.98%"
"09/15/2022","1,398.41","1,391.44","1,400.38","1,389.99","","0.53%"
"09/14/2022","1,391.01","1,392.37","1,396.25","1,388.88","","-0.26%"
"09/13/2022","1,394.68","1,375.25","1,395.26","1,371.40","","1.46%"
"09/12/2022","1,374.63","1,380.06","1,384.24","1,373.04","","-0.37%"
"09/09/2022","1,379.77","1,384.88","1,385.60","1,374.16","","-0.35%"
"09/08/2022","1,384.55","1,375.39","1,387.74","1,374.41","","0.54%"
"09/07/2022","1,377.11","1,378.52","1,391.28","1,377.12","","0.00%"
"09/06/2022","1,377.07","1,370.53","1,381.10","1,364.35","","0.56%"
"09/05/2022","1,369.39","1,363.68","1,374.99","1,361.31","","0.61%"
"09/02/2022","1,361.15","1,356.79","1,364.85","1,352.23","","0.39%"
"09/01/2022","1,355.82","1,341.76","1,359.49","1,341.10","","1.09%"
"08/31/2022","1,341.19","1,350.55","1,352.58","1,337.60","","-0.64%"
"08/30/2022","1,349.77","1,345.98","1,353.54","1,344.46","","0.31%"
"08/29/2022","1,345.62","1,342.18","1,352.30","1,342.03","","0.28%"
"08/26/2022","1,341.81","1,334.96","1,342.83","1,328.26","","0.56%"
"08/25/2022","1,334.32","1,340.96","1,342.42","1,333.36","","-0.47%"
